LOC100506869	NR_126341.1
LOC102724604	NR_125407.1
MTVR2	NR_027025.1
LOC100506860	NR_109780.1
LOC102724601	NR_121197.1
CHMP1B	NM_020412.4
LOC441204	NR_015364.2
TCOF1	NM_001135243.1
NSRP1	NM_032141.3
SPPL3	NM_139015.4
OPA3	NM_001017989.2
OPA1	NM_130837.2
RNF219-AS1	NR_047001.1
ITGA8	NM_003638.2
ITGA9	NM_002207.2
ITGA1	NM_181501.1
ITGA2	NM_002203.3
ITGA3	NM_002204.3
ITGA4	NM_000885.5
ITGA5	NM_002205.3
ITGA6	NM_001079818.2
ITGA7	NM_001144996.1
TRHR	NM_003301.5
LOC100132287	NR_028322.1
LOC100132287	NR_028322.1.2
UFSP2	NM_018359.3
LOC101928371	NR_110236.1
LOC101928370	NR_104626.1
LOC101928372	NR_110695.1
FAM212B	NM_019099.4
FAM212A	NM_203370.1
CHST9	NM_031422.5
CHST8	NM_001127895.1
CHST1	NM_003654.5
CHST3	NM_004273.4
CHST2	NM_004267.4
CHST5	NM_024533.4
CHST4	NM_001166395.1
CHST7	NM_019886.3
CHST6	NM_021615.4
ITGAX	NM_001286375.1
BCL2A1	NM_004049.3
ITGAV	NM_002210.4
ITGAL	NM_002209.2
ITGAM	NM_001145808.1
ITGAD	NM_005353.2
ITGAE	NM_002208.4
LOC285804	NR_126021.1
IGF2R	NM_000876.3
SLC36A4	NM_152313.3
SLC36A3	NM_001145017.1
SLC36A2	NM_181776.2
SLC36A1	NM_078483.3
LOC101929023	NR_125972.1
ARTN	NM_001136215.1
ART1	NM_004314.2
ART3	NM_001130016.2
ART5	NM_001079536.1
ART4	NM_021071.2
MGC57346	NR_027295.2
MGC57346	NR_027295.2.2
MGC57346	NR_026680.3.2
MGC57346	NR_027295.2.3
CRTAM	NM_019604.3
CADPS2	NM_001167940.1
RLF	NM_012421.3
USP17L30	NM_001256867.1
USP17L30	NM_001256867.1.8
USP17L30	NM_001256867.1.3
USP17L30	NM_001256867.1.2
USP17L30	NM_001256867.1.5
USP17L30	NM_001256867.1.4
USP17L30	NM_001256867.1.7
USP17L30	NM_001256867.1.6
LOC102723927	NR_110592.1
LOC102723927	NR_110592.1.3
LOC102723927	NR_110592.1.2
CRTAP	NM_006371.4
ADPGK	NM_031284.4
HPYR1	NR_026684.1
CPEB4	NM_030627.3
CPEB1	NM_030594.4.2
CPEB1	NM_030594.4
CPEB3	NM_014912.4
CPEB2	NM_001177382.1
SRBD1	NM_018079.4
ABAT	NM_000663.4
POU5F1B	NM_001159542.1
LOC284865	NR_038460.1
PHOX2A	NM_005169.3
PHOX2B	NM_003924.3
UPK2	NM_006760.3
CFH	NM_000186.3
CFI	NM_000204.3
CFD	NM_001928.2.2
CFD	NM_001928.2
CFB	NM_001710.5
CFB	NM_001710.5.4
CFB	NM_001710.5.5
CFB	NM_001710.5.6
CFB	NM_001710.5.7
CFB	NM_001710.5.2
CFB	NM_001710.5.3
TPT1-AS1	NR_024458.1
CFP	NM_001145252.1
RNU5B-1	NR_002757.3
REREP3	NR_033735.1
AAAS	NM_015665.5
SIDT1	NM_001308350.1
SIDT2	NM_001040455.1
PISRT1	NR_027070.1
SAGE1	NM_018666.2
LVCAT8	NR_131965.1
LVCAT5	NR_131960.1
LVCAT1	NR_131958.1
AAGAB	NM_024666.4
C4orf19	NM_001104629.1
SLC7A6OS	NM_032178.2
C4orf17	NM_032149.2
NBEAP1	NR_027992.1
RFPL4AL1	NM_001277397.1
ETV3L	NM_001004341.2
TEN1-CDK3	NR_037709.1
ZNF197-AS1	NR_046658.1
ARPP21	NM_001267619.1
MKRN2OS	NM_001195279.1
MSL3P1	NR_024322.1
NCBP2-AS2	NR_024388.1
CLK2P1	NR_002711.3
LOC286297	NR_046175.1
LOC286297	NR_046175.1.2
ZNF117	NM_015852.3
ZNF114	NM_153608.2
ZNF112	NM_001083335.1
SEZ6L	NM_021115.4
MIR6780B	NR_106894.1
MIR6780A	NR_106838.1
PRKAR2A	NM_004157.2
PRKAR2B	NM_002736.2
MAGT1	NM_032121.5
TMBIM6	NM_001098576.1
TMEM200B	NM_001003682.3
ITGA2B	NM_000419.3
PHACTR4	NM_023923.3
NLGN2	NM_020795.3
OR2K2	NM_205859.1
PHACTR3	NM_080672.4
NUP107	NM_020401.2
