STYX	ENST00000354586
RN7SKP13	ENST00000515933
OR8B6P	ENST00000525146
RPS26P30	ENST00000443431
GRPEL2P2	ENST00000421856
TEC	ENST00000381501
PRDM8	ENST00000339711
RP11-16C1.3	ENST00000585081
MTCO1P51	ENST00000427672
POLR2E	ENST00000586746
RPA2P2	ENST00000419698
RP11-98O2.1	ENST00000502606
MIR548AO	ENST00000579992
KNSTRN	ENST00000249776
OR1D5	ENST00000575751
TRIM47	ENST00000254816
RP11-400F19.18	ENST00000591237
RP11-22B10.3	ENST00000422654
HSPE1P14	ENST00000605812
RP11-463J7.1	ENST00000412675
RNU6-119P	ENST00000364882
TRAV39	ENST00000390466
ANXA8	ENST00000611843
TSEN15P1	ENST00000423257
PLCL1	ENST00000428675
EEF1E1-BLOC1S5	ENST00000397456
RP11-420J11.1	ENST00000493579
RP11-388K12.1	ENST00000517796
RNU7-172P	ENST00000517125
WDR6	ENST00000395474
RP5-1184F4.5	ENST00000442179
RP11-118A3.1	ENST00000553211
PHYHIP	ENST00000321613
RP11-128I7.1	ENST00000422909
MTND4LP19	ENST00000403051
ASAH2	ENST00000395526
OR5BL1P	ENST00000608682
PEX10	ENST00000288774
TMC3	ENST00000558726
RPL21P108	ENST00000413857
RNU6ATAC39P	ENST00000516309
ZNF492	ENST00000456783
CSPP1	ENST00000262210
RP11-296O14.3	ENST00000367716
RCCD1	ENST00000394258
CBX6	ENST00000407418
FCHO1	ENST00000597512
BSND	ENST00000371265
B2M	ENST00000558401
SLC9A3	ENST00000264938
CLEC17A	ENST00000417570
RP11-75L1.6	ENST00000543168
AC083873.4	ENST00000421179
SCUBE3	ENST00000274938
AKR1B10P2	ENST00000577332
MIR8053	ENST00000613344
RP11-157E21.3	ENST00000611983
RP11-212J19.1	ENST00000605674
RP11-25L3.1	ENST00000623454
RP5-1142A6.8	ENST00000333666
RP11-550H2.1	ENST00000635455
TVP23CP1	ENST00000450317
SIDT1-AS1	ENST00000462180
RP11-871F6.3	ENST00000540399
RP11-810P12.5	ENST00000524942
BDP1	ENST00000358731
ZSCAN10	ENST00000576985
AC107081.5	ENST00000425779
AF001548.5	ENST00000574212
LCE2B	ENST00000368780
RP11-422P22.1	ENST00000420211
RP11-379F4.7	ENST00000607624
CTB-47B8.1	ENST00000460082
RAC1P6	ENST00000423911
RP11-321E2.12	ENST00000505444
RP4-580O19.2	ENST00000424879
SNORA46	ENST00000384762
SNORA46	ENST00000391069
RP11-209E8.1	ENST00000559915
TRMT2A	ENST00000439169
AC011551.3	ENST00000593888
