Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
A1BG			19q13.43	ENSG00000121410	uc002qsd.4
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	ENSG00000268895	uc002qsg.3
A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1	ENSG00000148584	uc001jjj.3
A2M		FWP007, S863-7, CPAMD5	12p13.31	ENSG00000175899	uc001qvk.1
A2M-AS1			12p13.31	ENSG00000245105	uc009zgj.1
A2ML1	CPAMD9	FLJ25179	12p13	ENSG00000166535	uc001quz.5
A2ML1-AS1			12p13.31	ENSG00000256661	
A2ML1-AS2			12p13.31	ENSG00000256904	
A2MP1	A2MP		12p13.31	ENSG00000256069	uc021qum.1
A3GALT2	A3GALT2P	IGBS3S, IGB3S	1p35.1	ENSG00000184389	uc031plq.1
A4GALT		A14GALT, Gb3S, P(k)	22q13.2	ENSG00000128274	uc003bdb.3
A4GNT		alpha4GnT	3p14.3	ENSG00000118017	uc003ers.2
AAAS			12q13	ENSG00000094914	uc001scr.4
AACS		FLJ12389, SUR-5, ACSF1	12q24.31	ENSG00000081760	uc001uhc.3
AACSP1	AACSL		5q35	ENSG00000250420	uc011dgl.3
AADAC		DAC, CES5A1	3q25.1	ENSG00000114771	uc003eze.3
AADACL2		MGC72001	3q25.1	ENSG00000197953	uc003ezc.3
AADACL2-AS1			3q25.1	ENSG00000242908	
AADACL3		OTTHUMG00000001887	1p36.21	ENSG00000188984	uc031tpe.1
AADACL4		OTTHUMG00000001889	1p36.21	ENSG00000204518	uc001auf.3
AADACP1			3q25.1	ENSG00000240602	
AADAT		KATII, KAT2	4q33	ENSG00000109576	uc003ist.3
AAED1	C9orf21		9q22.32	ENSG00000158122	uc004awm.3
AAGAB		FLJ11506, p34	15q23	ENSG00000103591	uc002aqk.5
AAK1		KIAA1048, DKFZp686K16132	2p13.3	ENSG00000115977	uc002sfp.2
AAMDC	C11orf67	PTD015, FLJ21035, CK067	11q14.1	ENSG00000087884	uc001oyq.3
AAMP			2q	ENSG00000127837	uc002vhk.3
AANAT		SNAT	17q25.1	ENSG00000129673	uc002jro.3
AAR2	C20orf4	bA234K24.2	20q11.23	ENSG00000131043	uc002xfc.3
AARD	C8orf85	LOC441376	8q24.11	ENSG00000205002	uc003yof.3
AARS		CMT2N	16q22.1	ENSG00000090861	uc002eyn.1
AARS2	AARSL	KIAA1270, bA444E17.1	6p21.1	ENSG00000124608	uc010jza.1
AARSD1		MGC2744	17q21.31	ENSG00000266967	
AARSP1			4q28.3	ENSG00000249038	
AASDH		NRPS998, LYS2, ACSF4	4q12	ENSG00000157426	uc003hbn.4
AASDHPPT		LYS5, CGI-80, AASD-PPT	11q22	ENSG00000149313	uc001pjc.1
AASS		LORSDH, LKRSDH	7q31.3	ENSG00000008311	uc003vkb.3
AATBC			21q22.3	ENSG00000215458	
AATF		DED, CHE-1, CHE1, BFR2	17q12	ENSG00000275700	uc002hni.3
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	ENSG00000181409	uc010dia.3
AATK-AS1			17q25.3	ENSG00000225180	uc010wuk.1
AAVS1		AAV	19q13		
ABALON		INXS	20q11.21		
ABAT		GABAT	16p13.2	ENSG00000183044	uc002czc.4
ABCA1	ABC1, HDLDT1	TGD	9q31	ENSG00000165029	uc004bcl.3
ABCA2	ABC2		9q34	ENSG00000107331	uc033dll.1
ABCA3	ABC3	ABC-C, EST111653, LBM180	16p13.3	ENSG00000167972	uc002cpy.1
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22	ENSG00000198691	uc001dqh.3
ABCA5		EST90625	17q24.3	ENSG00000154265	uc002jig.2
ABCA6		EST155051	17q21	ENSG00000154262	uc002jhw.1
ABCA7		ABCX	19p13.3	ENSG00000064687	uc002lqw.4
ABCA8		KIAA0822	17q24	ENSG00000141338	uc010wqq.3
ABCA9		EST640918	17q24	ENSG00000154258	uc002jhu.3
ABCA9-AS1			17q24.2	ENSG00000231749	
ABCA10		EST698739	17q24	ENSG00000154263	uc010dfa.1
ABCA11P	ABCA11	EST1133530, FLJ14297	4p16.3	ENSG00000251595	uc010ibd.2
ABCA12	ICR2B	DKFZP434G232, LI2	2q34	ENSG00000144452	uc002vew.3
ABCA13		FLJ33876, FLJ33951	7p12.3	ENSG00000179869	uc003toq.2
ABCA17P			16p13.3	ENSG00000238098	uc002cqc.1
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	ENSG00000085563	uc003uiz.2
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21	ENSG00000005471	uc003uiw.1
ABCB5		EST422562, ABCB5beta, ABCB5alpha	7p14	ENSG00000004846	uc010kuh.3
ABCB6		EST45597, umat, MTABC3	2q36	ENSG00000115657	uc002vkc.2
ABCB7	ABC7	EST140535, Atm1p, ASAT	Xq13.3	ENSG00000131269	uc004eca.4
ABCB8		EST328128, M-ABC1, MABC1	7q36.1	ENSG00000197150	uc003wil.5
ABCB9		EST122234	12q24	ENSG00000150967	uc001udm.4
ABCB10		EST20237, M-ABC2, MTABC2	1q32	ENSG00000135776	uc001htp.4
ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	ENSG00000274099	
ABCB10P3			15q13.1		
ABCB10P4			15q13.1		
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q24	ENSG00000073734	uc002ueo.1
ABCC1	MRP, MRP1	GS-X	16p13.1	ENSG00000103222	uc010bvi.3
ABCC2	CMOAT	DJS, MRP2, cMRP	10q24	ENSG00000023839	uc001kqf.2
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21	ENSG00000108846	uc002isl.3
ABCC4		MRP4, EST170205, MOAT-B, MOATB	13q31	ENSG00000125257	uc001vmd.4
ABCC5		MRP5, SMRP, EST277145, MOAT-C	3q27	ENSG00000114770	uc003fmg.3
ABCC5-AS1			3q27.1	ENSG00000223882	uc031scp.1
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	ENSG00000091262	uc002den.4
ABCC6P1			16p12.3	ENSG00000256340	uc002dfg.3
ABCC6P2			16p13.11	ENSG00000255277	uc002dcu.2
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	ENSG00000006071	uc031xgt.1
ABCC9		SUR2, CMD1O	12p12.1	ENSG00000069431	uc001rfh.3
ABCC10		EST182763, MRP7, SIMRP7	6p12.3	ENSG00000124574	uc003ouy.1
ABCC11		MRP8	16q12	ENSG00000121270	uc002efg.1
ABCC12		MRP9	16q12.1	ENSG00000140798	uc002efc.1
ABCC13		PRED6, C21orf73	21q11.2	ENSG00000243064	uc002yjr.3
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	ENSG00000101986	uc004fif.2
ABCD1P1			2p11		
ABCD1P2		bA453N3.6	10p11.1	ENSG00000215151	
ABCD1P3			16p11.2	ENSG00000261233	
ABCD1P4			22q11.1	ENSG00000225293	
ABCD1P5			2p11.1	ENSG00000214330	
ABCD2	ALDL1	ALDR, ALDRP	12q12	ENSG00000173208	uc001rmb.2
ABCD3	PXMP1	PMP70, ZWS2	1p21.3	ENSG00000117528	uc001dqn.4
ABCD4	PXMP1L	PMP69, P70R, EST352188	14q24	ENSG00000119688	uc001xpr.2
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP	4q31	ENSG00000164163	uc003ijy.3
ABCF1	ABC50	EST123147	6p21.33	ENSG00000204574	uc003nql.3
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	ENSG00000033050	uc003wjo.2
ABCF2P1			3p11.1	ENSG00000242159	
ABCF2P2			7q11.22	ENSG00000228769	
ABCF3		EST201864	3q27.1	ENSG00000161204	uc003fmz.2
ABCG1		ABC8	21q22.3	ENSG00000160179	uc002zaq.3
ABCG2		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	ENSG00000118777	uc003hrg.3
ABCG4		WHITE2	11q23	ENSG00000172350	uc031yhk.1
ABCG5		STSL	2p21	ENSG00000138075	uc002rtn.3
ABCG8		GBD4	2p21	ENSG00000143921	uc002rtq.3
ABHD1		LABH1, FLJ36128	2p23.3	ENSG00000143994	uc002rit.3
ABHD2		LABH2	15q26.1	ENSG00000140526	uc002bnk.2
ABHD3		LABH3	18q11.1	ENSG00000158201	uc002ktl.2
ABHD4		FLJ12816	14q11.1	ENSG00000100439	uc001wgm.3
ABHD5		CGI-58, NCIE2	3p21.33	ENSG00000011198	uc003cmx.3
ABHD6			3p21.2	ENSG00000163686	uc003djs.4
ABHD8		FLJ11743, MGC14280, MGC2512	19p13.12	ENSG00000127220	uc002ngb.4
ABHD10		FLJ11342	3q13.2	ENSG00000144827	uc003dyk.5
ABHD11	WBSCR21	PP1226	7q11.23	ENSG00000106077	uc003tzb.3
ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	7q11.23	ENSG00000225969	uc011kez.1
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	ENSG00000100997	uc002wuq.3
ABHD12B	C14orf29	BEM46L3	14q21.3	ENSG00000131969	uc001wys.3
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.2	ENSG00000139826	uc001vqq.3
ABHD14A		DKFZP564O243, DORZ1	3p21.1	ENSG00000248487	uc003dco.3
ABHD14A-ACY1			3p21.2	ENSG00000114786	
ABHD14B		MGC15429, CIB	3p21.2	ENSG00000114779	uc011bdy.2
ABHD15			17q11.2	ENSG00000168792	uc002hed.2
ABHD15-AS1		linc-TP53I13, lnc-TP53I13	17q11.2	ENSG00000264031	
ABHD16A	BAT5	NG26, D6S82E	6p21.3	ENSG00000204427	uc003nvy.2
ABHD16B	C20orf135	dJ591C20.1	20q13.33	ENSG00000183260	uc002ygx.1
ABHD17A	C19orf27, FAM108A1	MGC5244	19p13.3	ENSG00000129968	uc002lug.3
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2	ENSG00000198658	
ABHD17AP3	FAM108A4, FAM108A4P		1q41	ENSG00000250536	
ABHD17AP4	FAM108A5, FAM108A5P		22q11.21	ENSG00000229107	
ABHD17AP5	FAM108A6, FAM108A6P		22q11.22	ENSG00000263366	
ABHD17AP6	FAM108A7P		17p11.2	ENSG00000226981	
ABHD17AP7	FAM108A8P		16p11.2	ENSG00000260864	
ABHD17AP8	FAM108A9P		16p11.2	ENSG00000260540	
ABHD17AP9	FAM108A10P		16p11.2	ENSG00000261536	
