OR5J7P	ENST00000534621
RNU6-481P	ENST00000384194
GLIPR1L2	ENST00000550916
APOPT1	ENST00000409074
RP11-118F19.1	ENST00000602862
CSNK1E	ENST00000359867
RP11-481C4.1	ENST00000509833
MYLK-AS2	ENST00000515464
SF3B3	ENST00000302516
RNU6-626P	ENST00000363354
SNX18P14	ENST00000567863
SNX18P14	ENST00000429308
RP11-257K9.8	ENST00000423730
RP11-253I19.4	ENST00000605743
RP11-95P2.3	ENST00000573220
CTC-261N6.3	ENST00000505348
OR5B15P	ENST00000609961
AL133244.1	ENST00000456007
LINC00964	ENST00000510897
SGK3	ENST00000345714
KRT18P6	ENST00000555540
GIMAP5	ENST00000358647
TRAV37	ENST00000553906
RNU1-14P	ENST00000362759
RP11-305K5.1	ENST00000609190
XRCC6	ENST00000359308
RP11-68I18.2	ENST00000456396
RP11-79P5.9	ENST00000607001
SIGLEC12	ENST00000291707
INSRR	ENST00000368195
RNU4-62P	ENST00000410125
CTD-2313J23.1	ENST00000566929
RP11-1018N14.2	ENST00000441895
TRMT1L	ENST00000367506
ZFAND2B	ENST00000289528
RNU6-400P	ENST00000391173
SCNM1	ENST00000368905
PADI6	ENST00000434762
Z82214.3	ENST00000420269
VKORC1	ENST00000394975
RP11-149B9.2	ENST00000456037
LRRC37A17P	ENST00000570311
SMAD3	ENST00000327367
RP11-180P8.5	ENST00000606304
ZNF449	ENST00000593526
ZNF449	ENST00000339249
CXorf21	ENST00000378962
AKR1B10P2	ENST00000577332
KIAA1147	ENST00000536163
KIAA1147	ENST00000575464
MRI1	ENST00000040663
RNA5SP252	ENST00000391131
HM13-IT1	ENST00000421894
RP11-386B13.1	ENST00000508796
KRTAP21-1	ENST00000335093
RNA5SP168	ENST00000516642
RP11-318I4.1	ENST00000505741
CCDC91	ENST00000381259
RP11-756P10.1	ENST00000504783
CXorf56	ENST00000371594
NANOGP10	ENST00000453325
OR5AH1P	ENST00000595968
THPO	ENST00000204615
CDK13	ENST00000181839
METTL15	ENST00000407364
CCNYL3	ENST00000566504
AC090616.2	ENST00000398832
LGALS1	ENST00000215909
TMPRSS12	ENST00000398458
RPS15AP34	ENST00000487776
GLYCAM1	ENST00000550226
TRAJ27	ENST00000390510
RNU4-83P	ENST00000410863
NXNL2	ENST00000375854
FAM84A	ENST00000295092
RP11-165E7.1	ENST00000588778
TEX13A	ENST00000413579
TEX13A	ENST00000600991
RP11-351E7.1	ENST00000521224
BTF3P12	ENST00000519620
GPD2	ENST00000310454
RP5-1177I5.3	ENST00000428838
RP11-504I13.3	ENST00000583287
MUC5B	ENST00000447027
HMGN3	ENST00000344726
HAX1	ENST00000483970
RP11-542G1.1	ENST00000505930
OSBP2	ENST00000332585
CSTF1	ENST00000217109
LSM10	ENST00000315732
KRT8P44	ENST00000441609
PLD6	ENST00000321560
RP11-177H2.2	ENST00000522026
CTD-2517O10.5	ENST00000515352
FAM96AP1	ENST00000430879
TUBB4BP6	ENST00000437576
CCDC122	ENST00000281508
NSUN5	ENST00000310326
NSUN5	ENST00000577167
AP2A2	ENST00000332231
KRT39	ENST00000575391
KRT39	ENST00000355612
RP11-552E4.2	ENST00000437312
RP11-552E4.2	ENST00000594495
IGHV3-63	ENST00000518422
IGHV3-63	ENST00000604109
RBBP6	ENST00000319715
HGD	ENST00000283871
RP11-512N21.3	ENST00000551918
RP11-15M15.1	ENST00000432706
TRMT61A	ENST00000389749
MIR802	ENST00000390235
AC002310.17	ENST00000564755
RP11-469N6.3	ENST00000529417
RPS24P7	ENST00000416921
BRD7P4	ENST00000406170
CCDC106	ENST00000308964
COPS3	ENST00000268717
ZNF783	ENST00000434415
RNF17	ENST00000255324
ZNF90P2	ENST00000419323
ZNF90P2	ENST00000414947
ZNF90P2	ENST00000445685
ZNF90P2	ENST00000414910
ZNF90P2	ENST00000442156
ZNF90P2	ENST00000422651
RNU6-480P	ENST00000384332
RP11-439C15.5	ENST00000605539
RP11-351I21.6	ENST00000526502
BX072566.1	ENST00000327822
DYRK2	ENST00000344096
RCBTB2	ENST00000430805
GDPD2	ENST00000453994
HNRNPA1P4	ENST00000509706
ING3	ENST00000315870
BMP2	ENST00000378827
DGUOK	ENST00000264093
POLHP1	ENST00000411806
RP5-1047A19.6	ENST00000525753
MTND5P29	ENST00000458676
RNU6-73P	ENST00000384600
RPS18P1	ENST00000447840
SLC20A1	ENST00000272542
RP11-359E19.2	ENST00000521257
HPN	ENST00000262626
SLC34A1	ENST00000324417
AC079776.2	ENST00000433290
DCAF8L1	ENST00000441525
AC006050.2	ENST00000436477
CTB-167G5.6	ENST00000599707
CTC-273B12.10	ENST00000598924
ZNF468	ENST00000595646
RP11-343B18.2	ENST00000561358
DCX	ENST00000338081
CTB-186G2.1	ENST00000589557
XKRYP3	ENST00000442113
RP11-49I4.3	ENST00000490324
AP000357.4	ENST00000409926
FES	ENST00000328850
RNU6-838P	ENST00000363399
RP11-333J10.2	ENST00000593278
TSGA10IP	ENST00000608857
OR6K1P	ENST00000456766
MDH1B	ENST00000374412
RP11-811J10.1	ENST00000502928
USP17L11	ENST00000457736
OLR1	ENST00000309539
RP11-543D5.2	ENST00000438589
OR51Q1	ENST00000300778
CTB-32H22.1	ENST00000523205
MYH7	ENST00000355349
RP11-99A14.1	ENST00000519383
SEL1L3	ENST00000399878
KRT19P4	ENST00000443208
RP5-1068B5.1	ENST00000432935
RP11-686O6.1	ENST00000609491
HOPX	ENST00000554144
TMEM39B	ENST00000336294
TMEM70	ENST00000312184
RP1-164F3.8	ENST00000414193
RP1-164F3.8	ENST00000600471
DESI2	ENST00000302550
WRAP73	ENST00000270708
CTB-50E14.5	ENST00000600255
RP11-411B10.5	ENST00000592985
PVRIG	ENST00000317271
CICP27	ENST00000442987
AC011558.5	ENST00000585757
CTD-2535P7.2	ENST00000575289
RP11-519G16.2	ENST00000560034
TKT	ENST00000609357
TKT	ENST00000423516
RP11-501C14.9	ENST00000603088
CTB-70D19.1	ENST00000502593
RN7SL122P	ENST00000579362
MIR606	ENST00000384851
RPS24P8	ENST00000431490
RP11-1129I3.1	ENST00000562300
RP11-79C23.1	ENST00000524329
RP11-392O18.2	ENST00000604339
IGSF11-AS1	ENST00000477009
CTC-251D13.1	ENST00000606930
RP11-677N16.1	ENST00000525966
YRDC	ENST00000373044
TRBV7-5	ENST00000390382
TRBV7-5	ENST00000565640
ZNF365	ENST00000410046
RNA5SP188	ENST00000362916
MADD	ENST00000311027
MIR98	ENST00000595546
MIR98	ENST00000606724
CARNS1	ENST00000445895
MIR5586	ENST00000582927
RN7SL756P	ENST00000488739
RP11-403B2.7	ENST00000564214
BRCA1	ENST00000471181
AC068535.3	ENST00000449772
SOCS7	ENST00000566881
SOCS7	ENST00000577233
